AIRLINE,DESTINATION_AIRPORT,ORIGIN_AIRPORT,MONTH,ELAPSED_TIME
AA,ABQ,CLT,7,213.6451612903226
AA,ABQ,CLT,8,221.06451612903226
AA,ABQ,CLT,9,217.33333333333334
AA,ABQ,DFW,1,107.04065040650407
AA,ABQ,DFW,2,111.71794871794872
AA,ABQ,DFW,3,105.26315789473684
AA,ABQ,DFW,4,108.56179775280899
AA,ABQ,DFW,5,109.02824858757062
AA,ABQ,DFW,6,103.51977401129943
AA,ABQ,DFW,7,104.7431693989071
AA,ABQ,DFW,8,105.13440860215054
AA,ABQ,DFW,9,105.92613636363636
AA,ABQ,DFW,11,112.9205298013245
AA,ABQ,DFW,12,110.45112781954887
AA,ALB,CLT,7,119.11290322580645
AA,ALB,CLT,8,116.94915254237289
AA,ALB,CLT,9,116.15
AA,ALB,CLT,11,117.5625
AA,ALB,CLT,12,114.58536585365853
AA,ANC,DFW,6,405.0740740740741
AA,ANC,DFW,7,401.83870967741933
AA,ANC,DFW,8,406.7741935483871
AA,ANC,DFW,9,406.2
AA,ANC,PHX,7,332.93333333333334
AA,ANC,PHX,8,339.03333333333336
AA,ANC,PHX,9,345.9
AA,ANC,PHX,11,359.51851851851853
AA,ANC,PHX,12,357.7741935483871
AA,ATL,CLT,7,75.01639344262296
AA,ATL,CLT,8,76.78389830508475
AA,ATL,CLT,9,73.91769547325103
AA,ATL,CLT,11,76.30869565217391
AA,ATL,CLT,12,76.92340425531916
AA,ATL,DFW,1,117.84341637010677
AA,ATL,DFW,2,119.79098360655738
AA,ATL,DFW,3,119.0551724137931
AA,ATL,DFW,4,122.31835205992509
AA,ATL,DFW,5,128.69921875
AA,ATL,DFW,6,132.464
AA,ATL,DFW,7,130.47104247104247
AA,ATL,DFW,8,127.10714285714286
AA,ATL,DFW,9,126.39676113360323
AA,ATL,DFW,11,121.43319838056681
AA,ATL,DFW,12,121.72881355932203
AA,ATL,LAX,3,257.4125
AA,ATL,LAX,4,251.93103448275863
AA,ATL,LAX,5,260.0246913580247
AA,ATL,LAX,6,263.8414634146341
AA,ATL,LAX,7,268.0
AA,ATL,LAX,8,262.49397590361446
AA,ATL,LAX,9,256.0128205128205
AA,ATL,LAX,11,243.22784810126583
AA,ATL,LAX,12,247.14285714285714
AA,ATL,MIA,1,119.90350877192982
AA,ATL,MIA,2,118.46236559139786
AA,ATL,MIA,3,118.01834862385321
AA,ATL,MIA,4,120.64197530864197
AA,ATL,MIA,5,115.2
AA,ATL,MIA,6,116.64035087719299
AA,ATL,MIA,7,115.79032258064517
AA,ATL,MIA,8,116.05263157894737
AA,ATL,MIA,9,113.3
AA,ATL,MIA,11,119.70967741935483
AA,ATL,MIA,12,114.55
AA,ATL,ORD,3,103.66666666666667
AA,ATL,ORD,4,113.03333333333333
AA,ATL,ORD,5,116.29032258064517
AA,ATL,ORD,6,124.16666666666667
AA,ATL,ORD,7,119.12903225806451
AA,ATL,ORD,8,112.83870967741936
AA,ATL,ORD,9,113.66666666666667
AA,ATL,ORD,11,110.97590361445783
AA,ATL,ORD,12,113.08695652173913
AA,ATL,PHL,7,130.3815028901734
AA,ATL,PHL,8,133.3918128654971
AA,ATL,PHL,9,137.95294117647057
AA,ATL,PHL,11,137.74242424242425
AA,ATL,PHL,12,136.93037974683546
AA,ATL,PHX,7,222.91525423728814
AA,ATL,PHX,8,223.38679245283018
AA,ATL,PHX,9,218.42857142857142
AA,ATL,PHX,11,206.5
AA,ATL,PHX,12,208.11881188118812
AA,AUS,CLT,7,161.86206896551724
AA,AUS,CLT,8,167.34285714285716
AA,AUS,CLT,9,162.9516129032258
AA,AUS,CLT,11,178.66265060240963
AA,AUS,CLT,12,176.78571428571428
AA,AUS,DFW,1,57.63170731707317
AA,AUS,DFW,2,57.988571428571426
AA,AUS,DFW,3,58.62469135802469
AA,AUS,DFW,4,58.85849056603774
AA,AUS,DFW,5,59.20754716981132
