AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,ARRIVAL_DELAY
AA,PHX,MIA,29.0
AA,TPA,CLT,-9.0
AA,PHL,IAH,-6.0
AA,CLT,MIA,10.0
AS,FAI,ANC,-9.0
AS,JNU,SEA,-1.0
AS,LAX,SEA,-25.0
DL,PBI,LGA,-22.0
EV,TYS,ATL,6.0
MQ,JAN,DFW,-21.0
UA,PHX,DEN,-22.0
DL,ATL,SAT,120.0
OO,SMF,LAX,-15.0
EV,OMA,IAH,-15.0
NK,MYR,LGA,-7.0
OO,FCA,DEN,-19.0
UA,DEN,SFO,-18.0
MQ,RST,ORD,-22.0
OO,LAX,BOI,-2.0
UA,MSY,EWR,-22.0
AA,BNA,DFW,-12.0
AA,CLT,JFK,1.0
B6,LAS,LGB,-11.0
B6,STT,SJU,31.0
DL,MSP,DEN,-8.0
DL,LAX,DTW,-28.0
DL,PHX,SLC,-6.0
DL,TUS,ATL,-19.0
DL,LGA,DEN,-1.0
DL,LGA,PBI,33.0
DL,MSP,SLC,-17.0
DL,RIC,ATL,-14.0
EV,BTV,EWR,-9.0
EV,IND,IAH,14.0
EV,TRI,ATL,-4.0
EV,BTR,IAH,-6.0
F9,MCO,DEN,2.0
F9,PHL,TPA,-23.0
HA,HNL,OAK,-28.0
MQ,RAP,DFW,-21.0
MQ,CID,ORD,-14.0
OO,ASE,ORD,-10.0
OO,MSP,FSD,0.0
UA,STT,EWR,16.0
UA,IAH,MIA,37.0
UA,CLE,EWR,-5.0
WN,DAL,MDW,-22.0
WN,DEN,PDX,-25.0
WN,BUR,OAK,1.0
WN,BWI,LAS,6.0
WN,SMF,LAX,35.0
WN,SNA,DEN,13.0
WN,SNA,HOU,10.0
WN,DEN,SNA,-14.0
WN,ISP,BWI,25.0
WN,LAS,GEG,12.0
WN,LAS,RNO,0.0
WN,LAS,SAN,55.0
WN,LAX,DAL,19.0
WN,LAX,DEN,11.0
WN,LGA,ATL,-29.0
WN,MCI,ABQ,-3.0
WN,MDW,DCA,-15.0
WN,MDW,EWR,15.0
WN,MKE,BWI,0.0
WN,MSY,LAS,3.0
WN,PHX,GEG,3.0
WN,SLC,BWI,-11.0
AA,DFW,SFO,-8.0
AA,LGA,ORD,-25.0
AA,LAS,DFW,-2.0
AA,LAX,AUS,-20.0
AA,DFW,COS,4.0
AA,BOS,DFW,12.0
AA,LAX,DFW,-16.0
AA,STL,PHX,-1.0
AA,CLT,PHX,-2.0
AA,DSM,PHX,48.0
AA,PHL,ORD,34.0
AA,CLT,LGA,-4.0
AA,SNA,DFW,-12.0
B6,DCA,PBI,3.0
B6,RSW,BDL,-6.0
B6,BOS,PBI,-9.0
AS,OGG,BLI,-33.0
AS,LIH,SEA,147.0
AS,KOA,OAK,-22.0
MQ,COU,DFW,-10.0
OO,DLH,ORD,81.0
UA,DEN,IAH,-6.0
AA,ORD,DFW,-20.0
B6,JFK,BUF,-8.0
B6,SJU,FLL,239.0
EV,LRD,DFW,-21.0
EV,ORD,TYS,-5.0
MQ,DFW,LBB,13.0
NK,RSW,ORD,16.0
AA,TPA,DFW,-19.0
AA,RIC,CLT,3.0
EV,ORD,CAK,-18.0
MQ,GRR,ORD,-22.0
EV,BDL,MSP,5.0
MQ,ASE,DFW,-8.0
UA,LAS,SFO,-16.0
AA,TUL,DFW,-9.0
DL,LGA,MSP,-5.0
MQ,BNA,ORD,4.0
OO,LAX,ASE,-30.0
UA,RSW,EWR,-23.0
AA,SAT,DFW,-11.0
AA,SDF,DFW,-1.0
AA,ORD,AUS,-10.0
AA,CLT,BDL,-7.0
B6,SFO,LGB,35.0
B6,JFK,LGB,-8.0
B6,EWR,FLL,37.0
B6,BOS,RSW,8.0
DL,STT,JFK,-2.0
DL,LAX,SEA,-21.0
DL,BOS,MSP,-4.0
DL,MSP,PHX,-10.0
DL,ORD,ATL,-17.0
DL,DCA,MSP,23.0
DL,MCO,ATL,4.0
EV,ALB,EWR,-14.0
EV,IAH,GRK,17.0
EV,MCI,IAH,0.0
